datetime,duration,duration_riding,distance,distance_total,speed,speed_avg,speed_avg_riding,speed_max,speed_limit,acceleration,voltage,current,current_phase,power,battery,temp,temp_motor,temp_batt,safety_margin,cpu_load,tilt,roll,fan,alert,alarm,gps_datetime,gps_duration,gps_duration_riding,gps_distance,gps_lat,gps_lon,gps_speed,gps_speed_avg,gps_speed_avg_riding,gps_speed_max,gps_alt,gps_bearing,gps_acc,hr,extra
2025-04-26T12:50:38.948+0200,0,0,0.000,2990.149,20.96,20.96,20.96,20.96,,,83.59,8.09,,676,100,34,,,,,0.5,,,,0,2025-04-26T12:50:39.000+0200,3,3,0.017,44.4077224,8.9535200,21.28,21.08,21.08,21.28,18.6,20,4,,euc.distance=0
2025-04-26T12:50:39.616+0200,0,1,0.000,2990.153,20.76,20.86,20.86,20.96,,,83.53,8.08,,675,100,34,,,,,0.5,,,,0,2025-04-26T12:50:40.000+0200,3,3,0.021,44.4077616,8.9535411,20.88,21.03,21.03,21.28,18.5,20,4,,euc.distanceUser=2990.091
2025-04-26T12:50:40.177+0200,1,1,0.004,2990.158,21.02,20.91,20.91,21.02,,,84.88,0.72,,61,100,34,,,,,1.0,,,,0,2025-04-26T12:50:40.000+0200,4,4,0.021,44.4077616,8.9535411,20.88,21.03,21.03,21.28,18.5,20,4,,euc.distanceTotal=2990.149
2025-04-26T12:50:40.592+0200,1,2,0.009,2990.161,19.99,20.68,20.68,21.02,,,84.45,3.59,,303,100,34,,,,,0.7,,,,0,2025-04-26T12:50:41.000+0200,4,4,0.026,44.4078019,8.9535600,19.55,20.74,20.74,21.28,18.0,17,4,,euc.firmware=2.2.11
2025-04-26T12:50:41.006+0200,2,2,0.012,2990.163,19.74,20.49,20.49,21.02,,,83.71,7.73,,647,100,34,,,,,0.4,,,,0,2025-04-26T12:50:41.000+0200,5,5,0.026,44.4078019,8.9535600,19.55,20.74,20.74,21.28,18.0,17,4,,euc.make=Inmotion
2025-04-26T12:50:41.459+0200,2,2,0.014,2990.165,19.74,20.37,20.37,21.02,,,83.67,7.87,,658,100,34,,,,,0.4,,,,0,2025-04-26T12:50:41.000+0200,5,5,0.026,44.4078019,8.9535600,19.55,20.74,20.74,21.28,18.0,17,4,,euc.model=V10F
2025-04-26T12:50:42.896+0200,4,4,0.016,2990.173,20.22,20.35,20.35,21.02,,,83.85,7.18,,602,100,34,,,,,0.5,,,,0,2025-04-26T12:50:43.000+0200,6,6,0.037,44.4078995,8.9535830,19.98,20.44,20.44,21.28,19.3,18,4,,euc.serial=14C02A5FAE86027D
2025-04-26T12:50:43.445+0200,4,4,0.024,2990.176,19.74,20.27,20.27,21.02,,,84.20,4.52,,381,100,34,,,,,0.6,,,,0,2025-04-26T12:50:43.000+0200,7,7,0.037,44.4078995,8.9535830,19.98,20.44,20.44,21.28,19.3,18,4,,euc.type=INMOTION
2025-04-26T12:50:44.107+0200,5,5,0.027,2990.180,19.51,20.19,20.19,21.02,,,83.85,6.50,,545,100,34,,,,,0.4,,,,0,2025-04-26T12:50:44.000+0200,8,8,0.043,44.4079476,8.9536001,19.26,20.29,20.29,21.28,18.9,17,4,,euc.btAddress=F8:33:31:DD:5C:32
2025-04-26T12:50:45.679+0200,6,7,0.031,2990.188,19.04,20.07,20.07,21.02,,,84.03,5.96,,501,100,34,,,,,0.5,,,,0,2025-04-26T12:50:46.000+0200,9,9,0.053,44.4080369,8.9536437,18.90,19.96,19.96,21.28,19.6,18,4,,euc.btName=V10F-AE86027D
